Rank,Team,Confrence,Win_Loss,Adjusted_Efficiency_Margin,Adjusted_Offensive_Efficency,Adjusted_Defensive_Efficency,Adjusted_tempo,Luck,Strength_of_Schedule_Rating,Adverage_Adjusted_Offensive_Efficency_of_Opponents,Adverage_Adjusted_Defensive_Efficency_of_Opponents,Non_Confrence_Strength_of_Schedule_Rating
199,Wofford,SC,13-10,-2.10,108.2,110.3,65.9,+.008,-2.31,104.1,106.4,-0.47
200,Jacksonville,ASun,12-9,-2.19,102.5,104.7,61.8,+.074,+1.41,106.6,105.2,+6.30
201,Brown,Ivy,10-10,-2.30,99.4,101.7,68.5,-.017,-3.27,103.2,106.5,-3.74
202,Utah Tech,WAC,10-12,-2.44,105.2,107.6,69.7,-.056,+2.17,105.6,103.4,+2.39
203,Milwaukee,Horz,15-7,-2.44,102.0,104.5,71.8,+.111,-3.19,103.9,107.1,+1.28
204,Drexel,CAA,12-10,-2.45,101.4,103.8,63.6,-.059,-6.38,101.0,107.4,-1.86
205,San Diego,WCC,10-13,-2.52,111.3,113.8,69.0,-.022,+1.05,105.0,104.0,-2.23
206,Purdue Fort Wayne,Horz,14-9,-2.57,103.0,105.6,68.3,+.029,-4.58,102.9,107.5,-0.46
207,Northern Kentucky,Horz,14-9,-2.70,100.1,102.8,62.5,+.040,-5.27,103.0,108.3,+2.96
208,Pacific,WCC,11-12,-2.70,106.7,109.4,69.9,+.031,-0.21,105.0,105.2,-5.33
209,Delaware,CAA,12-11,-2.72,103.5,106.2,67.0,+.019,-1.81,105.1,106.9,+0.07
210,Northwestern St.,Slnd,14-8,-2.80,105.3,108.1,66.2,+.089,-4.28,103.6,107.9,+3.84
211,Queens,ASun,15-8,-2.84,109.9,112.7,69.1,+.027,-4.86,103.1,107.9,-3.09
212,Texas St.,SB,11-12,-2.94,100.1,103.0,64.0,+.044,-0.20,104.1,104.3,-0.49
213,Rhode Island,A10,8-13,-3.06,101.4,104.5,67.3,-.015,-0.54,103.3,103.9,-1.25
214,Bryant,AE,13-8,-3.14,107.7,110.8,72.8,+.092,-2.58,103.8,106.4,+1.71
215,Weber St.,BSky,11-11,-3.16,99.4,102.6,65.4,+.016,-0.16,105.4,105.5,+3.77
216,North Carolina Central,MEAC,10-11,-3.19,102.2,105.4,67.3,-.089,-0.88,103.6,104.4,+6.74
217,UMBC,AE,14-9,-3.30,109.6,112.9,67.7,+.028,-6.68,101.1,107.7,-7.33
218,American,Pat,14-7,-3.43,103.6,107.1,63.0,+.075,-6.49,101.6,108.0,-7.14
219,Texas A&M Corpus Chris,Slnd,13-9,-3.43,105.9,109.4,69.4,-.049,-7.98,100.3,108.3,+0.70
220,Georgetown,BE,6-16,-3.46,105.8,109.3,68.3,-.065,+5.30,108.4,103.1,-3.69
221,Wright St.,Horz,13-10,-3.46,102.8,106.3,72.1,-.052,-6.36,102.2,108.5,-2.34
222,East Carolina,Amer,11-11,-3.61,102.9,106.6,67.0,+.015,-3.17,103.2,106.3,-9.44
223,Navy,Pat,11-11,-3.81,105.1,108.9,64.6,-.032,-4.78,102.3,107.1,-1.60
224,SIU Edwardsville,OVC,14-9,-3.86,99.1,103.0,68.4,+.002,-5.21,102.9,108.1,+0.79
225,Grambling St.,SWAC,13-8,-3.90,99.4,103.3,67.4,+.064,-5.03,100.5,105.5,+3.61
226,Southern,SWAC,12-10,-4.03,99.2,103.2,72.2,+.028,-2.88,102.6,105.5,+8.39
227,Abilene Christian,WAC,11-11,-4.14,103.1,107.3,69.0,-.010,-1.38,103.9,105.3,-1.85
228,Detroit Mercy,Horz,8-15,-4.15,110.6,114.7,67.0,-.102,-0.35,105.4,105.7,+5.00
229,St. Thomas,Sum,14-10,-4.21,108.2,112.4,65.1,+.027,-4.56,102.5,107.0,-1.92
230,Georgia Southern,SB,12-11,-4.29,101.5,105.8,65.4,+.019,-1.63,104.7,106.4,-3.21
231,Army,Pat,12-11,-4.70,104.8,109.5,68.3,-.094,-7.43,100.4,107.8,-6.75
232,FIU,CUSA,11-11,-4.84,101.9,106.7,70.1,+.043,-0.66,104.6,105.3,-8.22
